Row(daytime=0, daytime_arrests=68483)
Row(daytime=1, daytime_arrests=51649)
Row(daytime=2, daytime_arrests=41370)
Row(daytime=3, daytime_arrests=31338)
Row(daytime=4, daytime_arrests=21620)
Row(daytime=5, daytime_arrests=14717)
Row(daytime=6, daytime_arrests=18029)
Row(daytime=7, daytime_arrests=23888)
Row(daytime=8, daytime_arrests=37567)
Row(daytime=9, daytime_arrests=48687)
Row(daytime=10, daytime_arrests=67762)
Row(daytime=11, daytime_arrests=89522)
Row(daytime=12, daytime_arrests=94380)
Row(daytime=13, daytime_arrests=91504)
Row(daytime=14, daytime_arrests=89455)
Row(daytime=15, daytime_arrests=86523)
Row(daytime=16, daytime_arrests=81052)
Row(daytime=17, daytime_arrests=78091)
Row(daytime=18, daytime_arrests=90621)
Row(daytime=19, daytime_arrests=116177)
Row(daytime=20, daytime_arrests=119386)
Row(daytime=21, daytime_arrests=116452)
Row(daytime=22, daytime_arrests=107433)
Row(daytime=23, daytime_arrests=88496)
