"","PLAYER","FIELD_GOALS_MADE","FIELD_GOALS_ATT","FREE_THROWS_MADE","FREE_THROWS_ATT","TOTAL_POINTS","OFFENSIVE_REBOUNDS","DEFENSIVE_REBOUNDS","REBOUNDS","ASSISTS","PERSONAL_FOULS","DISQUALIFICATIONS","STEALS","TURNOVERS","BLOCKED_SHOTS","THREE_POINT_MADE","THREE_POINT_ATT","PLUS_MINUS","TWO_POINT_MADE","TWO_POINT_ATT","POSITION","MINUTES_PLAYED","FGPCNT","THREEPCNT","FTPCNT","AST2TRNVR","eFGPCNT","TSPCNT","FTAPERFGA","ORBPCNT","DRBPCNT","TRBPCNT","ASTPCNT","STLPCNT","BLKPCNT","TOVPCNT","USGPCNT"
"1","Aaron Brooks",6.0863309352518,15.1834532374101,1.5863309352518,2.07194244604317,15.8956834532374,0.679856115107914,2.58992805755396,3.26978417266187,5.8273381294964,4.27338129496403,0,0.971223021582734,2.65467625899281,0.323741007194245,2.13669064748201,5.98920863309352,-0.388489208633093,3.94964028776978,9.19424460431655,"PG",13.5609756097561,0.400852878464819,0.356756756756757,0.765625,2.19512195121951,0.471215351812367,0.494,0.00136,0.02,0.075,0.048,0.26,0.014,0.007,0.142,0.229
"2","Aaron Gordon",5.30037614185922,11.2004298764105,2.4954325631381,3.73347662547018,13.908651262762,2.97904352498657,6.82858678130038,9.80763030628694,2.47608812466416,2.95969908651263,0.0193444384739387,1.14132186996239,1.27673293927996,1.06394411606663,0.812466415905427,2.7469102632993,-1.45083288554541,4.48790972595379,8.45351961311123,"PF",22.6951219512195,0.473229706390328,0.295774647887324,0.66839378238342,1.93939393939394,0.509499136442142,0.541,0.00333,0.09,0.213,0.151,0.103,0.016,0.024,0.09,0.173
"3","Aaron Harrison",1.875,7.125,1.875,4.5,6.75,1.5,4.125,5.625,0.75,3.75,0,2.25,1.5,0,1.125,3.75,-2.625,0.75,3.375,"SG",1.17073170731707,0.263157894736842,0.3,0.416666666666667,0.5,0.342105263157895,0.371,0.00632,0.047,0.131,0.088,0.03,0.032,0,0.141,0.137
"4","Adreian Payne",3.92592592592593,10.7407407407407,1.25925925925926,1.92592592592593,9.77777777777778,1.48148148148148,6.74074074074074,8.22222222222222,2.14814814814815,5.7037037037037,0.0740740740740741,1.18518518518519,2.66666666666667,0.814814814814815,0.666666666666667,2.37037037037037,-8.88888888888889,3.25925925925926,8.37037037037037,"PF",5.92682926829268,0.36551724137931,0.28125,0.653846153846154,0.805555555555556,0.396551724137931,0.422,0.00179,0.048,0.215,0.133,0.089,0.017,0.018,0.187,0.177
"5","Al-Farouq Aminu",4.59607173356106,11.0520922288642,1.76771989752348,2.39795046968403,12.8966695132366,1.5064047822374,6.16396242527754,7.67036720751494,2.12126387702818,2.62852263023057,0,1.1067463706234,1.84457728437233,0.81468830059778,1.93680614859095,5.36464560204953,0.906917164816396,2.65926558497011,5.68744662681469,"SF",28.5609756097561,0.415855354659249,0.361031518624642,0.737179487179487,1.15,0.503477051460362,0.533,0.00217,0.045,0.186,0.115,0.088,0.015,0.018,0.132,0.169
"6","Al Horford",7.22732447817837,14.3180265654649,1.40721062618596,1.76242884250474,17.0641366223909,2.02201138519924,6.12068311195446,8.1426944971537,3.59316888045541,2.226944971537,0,0.929032258064516,1.46185958254269,1.65313092979127,1.2022770398482,3.49753320683112,3.15597722960152,6.02504743833017,10.8204933586338,"C",32.1341463414634,0.504770992366412,0.34375,0.798449612403101,2.45794392523365,0.54675572519084,0.565,0.00123,0.063,0.182,0.124,0.167,0.013,0.036,0.088,0.206
"7","Al Jefferson",8.04744525547445,16.5875912408759,2.36496350364964,3.64598540145985,18.4598540145985,1.87226277372263,8.01459854014599,9.88686131386861,2.2992700729927,3.84306569343066,0.0328467153284672,0.985401459854015,1.11678832116788,1.34671532846715,0,0,1.57664233576642,8.04744525547445,16.5875912408759,"C",13.3658536585366,0.485148514851485,0,0.648648648648649,2.05882352941176,0.485148514851485,0.507,0.0022,0.056,0.246,0.15,0.118,0.014,0.03,0.058,0.242
"8","Alan Anderson",3.91709844559586,11.0051813471503,2.05181347150259,2.7979274611399,12.1243523316062,0.186528497409326,4.84974093264249,5.03626943005181,2.61139896373057,4.66321243523316,0,0.746113989637306,0.373056994818653,0.186528497409326,2.23834196891192,6.90155440414508,5.59585492227979,1.67875647668394,4.10362694300518,"SG",2.35365853658537,0.355932203389831,0.324324324324324,0.733333333333333,7,0.457627118644068,0.495,0.00254,0.006,0.155,0.079,0.103,0.01,0.004,0.03,0.154
"9","Alan Williams",5.37313432835821,12.8955223880597,4.83582089552239,7.52238805970149,15.5820895522388,7.52238805970149,12.8955223880597,20.4179104477612,2.6865671641791,8.05970149253731,0,2.14925373134328,3.22388059701493,2.6865671641791,0,0,0.537313432835821,5.37313432835821,12.8955223880597,"PF",3.52631578947368,0.416666666666667,0,0.642857142857143,0.833333333333333,0.416666666666667,0.481,0.00583,0.219,0.392,0.303,0.117,0.029,0.06,0.166,0.226
"10","Alec Burks",6.18045112781955,15.0676691729323,4.78195488721804,6.3609022556391,18.5864661654135,0.721804511278195,4.19548872180451,4.91729323308271,2.84210526315789,3.20300751879699,0,0.81203007518797,2.30075187969925,0.180451127819549,1.44360902255639,3.56390977443609,-0.586466165413534,4.73684210526316,11.5037593984962,"SG",9.73170731707317,0.410179640718563,0.405063291139241,0.75177304964539,1.23529411764706,0.458083832335329,0.52,0.00422,0.024,0.136,0.08,0.139,0.012,0.004,0.114,0.259
